ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
57724,CF,TIM FICI,,-,-,-,-,06/29/2006,21,USA,"6' 2""",185 lbs,Right,Right,20,35,High
48915,SS,TIM GAMBOA,,-,-,-,-,12/13/2006,21,USA,"6' 1""",190 lbs,Right,Right,20,35,Very High
56626,SP,STEVE HENDERSON,,-,-,-,-,09/24/2009,18,USA,"6' 5""",190 lbs,Right,Left,20,35,Very High
56427,CF,J.R. HENDRICK,,-,-,-,-,07/29/2010,17,USA,"6' 6""",190 lbs,Left,Left,20,35,Very High
52239,RF,ROB KISER,,-,-,-,-,06/10/2006,21,USA,"6' 4""",210 lbs,Left,Right,20,35,High
57759,SS,CHAD LARSEN,,-,-,-,-,08/06/2009,18,USA,"6' 1""",175 lbs,Right,Right,20,35,Very High
56757,SP,RANDY LEEDLE,,-,-,-,-,01/13/2007,21,USA,"6' 0""",185 lbs,Left,Left,20,35,Very High
56959,CF,ED MCFARLANE,,-,-,-,-,04/17/2006,22,USA,"6' 2""",185 lbs,Right,Right,20,35,High
52307,CF,JOEL SAVAGE,,-,-,-,-,12/04/2005,22,USA,"6' 1""",195 lbs,Right,Right,20,35,High
56920,RF,JHOXAN SAVERY,,-,-,-,-,04/20/2006,22,USA,"6' 2""",190 lbs,Left,Left,20,35,Very High
21031,SP,JONATHAN STEELE,,-,-,-,-,02/28/2006,22,USA,"6' 3""",200 lbs,Right,Right,20,35,Very High
56790,SP,FREDDY STROZ,,-,-,-,-,08/21/2006,21,USA,"6' 6""",210 lbs,Left,Right,20,35,Very High
51245,RF,SHUJI TAGAWA,,-,-,-,-,08/22/2005,22,JPN,"5' 10""",180 lbs,Switch,Left,20,35,High
52416,RF,ABEL COLLET,,-,-,-,-,12/22/2005,22,USA,"6' 1""",200 lbs,Left,Left,20,30,High
37453,C,ERIC EADES,,-,-,-,-,02/04/2007,21,USA,"6' 2""",210 lbs,Right,Right,20,30,Very High
56921,SP,CHRIS GILDEN,,-,-,-,-,06/27/2006,21,USA,"6' 2""",185 lbs,Left,Left,20,30,High
48510,SP,BILLY HALLENBECK,,-,-,-,-,12/01/2005,22,USA,"6' 2""",200 lbs,Left,Right,20,30,Very High
56852,C,STEVE HUTCHINSON,,-,-,-,-,11/02/2006,21,USA,"6' 0""",200 lbs,Right,Right,20,30,High
56453,CF,SAM LANEY,,-,-,-,-,10/12/2009,18,USA,"6' 0""",165 lbs,Right,Right,20,30,Very High
28329,SP,TIM PEPIN,,-,-,-,-,01/19/2007,21,USA,"6' 1""",195 lbs,Right,Right,20,30,High
56558,SP,SKYLER ROBINSON,,-,-,-,-,05/09/2010,17,USA,"6' 3""",175 lbs,Switch,Right,20,30,High
30590,CF,CHRIS VEREEN,,-,-,-,-,04/20/2007,21,USA,"6' 5""",185 lbs,Left,Left,20,30,High
57728,SP,SEAN WALTERS,,-,-,-,-,04/03/2010,18,USA,"6' 8""",200 lbs,Right,Right,20,30,Very High
56842,CF,DANNY BOUDREAUX,,-,-,-,-,07/16/2006,21,USA,"6' 4""",190 lbs,Right,Right,20,25,Very High
56667,SS,MARIO CIENFUEGOS,,-,-,-,-,05/15/2009,18,USA,"6' 3""",170 lbs,Switch,Right,20,25,Very High
55415,2B,DAVE KAHN,,-,-,-,-,03/06/2009,19,USA,"6' 0""",165 lbs,Switch,Right,20,25,Very High
20605,C,OMAR LOPEZ,,-,-,-,-,03/08/2010,18,USA,"6' 2""",190 lbs,Right,Right,20,20,High
51243,SP,JON NOVA,,-,-,-,-,01/10/2007,21,USA,"6' 3""",210 lbs,Switch,Right,20,20,High
56507,2B,MIKE PERRY,,-,-,-,-,03/22/2010,18,USA,"6' 5""",180 lbs,Right,Right,20,30,High
56614,2B,CHRIS SCHELL,,-,-,-,-,05/25/2010,17,USA,"6' 6""",185 lbs,Right,Right,20,30,Very High
