ID,POS,#,Name,DOB,Age,NAT,HT,WT,B,T,OVR,POT,LEA,LOY,AD,GRE,WE,INT,Type,Prone,CON P,GAP P,POW P,EYE P,K P,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
58113,SP,29,Josh Mettler,12/07/2007,21,USA,"5' 9""",175 lbs,Left,Right,20,50,Normal,Low,Normal,High,Normal,Normal,Unknown,Normal,25,35,25,25,30,55,60,50,70,60,-,-,-,60,65,-,-,-,-,-,4,NEU,95-97 Mph,Over the Top,Power,40,50,20,25,30,55,50,25,35,35,40,25,20,20,$7.0m,Easy,Very High
57819,RF,48,ANDY MISIEWICZ,10/14/2007,21,USA,"6' 1""",180 lbs,Left,Left,20,50,Normal,Normal,Normal,High,Normal,Normal,Unknown,Normal,60,55,55,55,55,20,20,25,25,-,-,-,-,-,-,-,-,-,-,-,1,NEU,80-83 Mph,Normal (3/4),Normal,20,20,20,20,35,30,40,20,60,70,55,45,40,35,Slot,Hard,Very High
57172,RP,3,David Montenegro,09/16/2010,18,USA,"6' 4""",185 lbs,Left,Right,20,50,Normal,Normal,Normal,High,Normal,Normal,Unknown,Durable,40,30,20,25,60,60,60,45,60,35,-,-,-,-,-,-,-,-,70,-,3,NEU,88-90 Mph,Normal (3/4),Normal,45,50,20,20,20,30,50,25,20,25,30,20,20,20,Slot,Extremely Hard,Very High
57820,SP,1,Tim Moorman,02/16/2007,22,USA,"6' 3""",200 lbs,Left,Left,20,50,Normal,High,Normal,Normal,Normal,Normal,Unknown,Normal,40,30,20,25,55,50,60,50,55,60,-,65,-,-,-,45,-,-,-,-,4,NEU,92-94 Mph,Normal (3/4),Normal,45,50,20,20,30,25,55,20,20,35,30,20,20,30,$3.6m,Normal,Very High
58753,CF,14,Vince Neal,12/08/2007,21,USA,"5' 9""",170 lbs,Right,Right,20,50,Low,Low,Normal,High,Normal,Normal,Unknown,Normal,60,65,55,45,65,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Over the Top,Normal,20,20,20,25,45,35,35,40,60,70,55,60,40,40,$320k,Normal,Very High
58685,SP,22,Joe Nicoles,08/25/2007,21,USA,"6' 2""",200 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,25,30,25,25,30,50,50,50,65,55,65,35,-,-,-,-,-,-,-,-,4,NEU,96-98 Mph,Over the Top,Power,65,30,20,20,30,45,40,35,25,25,45,20,20,20,$3.8m,Easy,Very High
57369,RF,12,Ruben Nunez,08/25/2010,18,CUR,"6' 4""",185 lbs,Left,Left,20,50,Normal,Low,High,High,Normal,Normal,Unknown,Normal,60,50,55,65,65,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,NEU,80-83 Mph,Normal (3/4),Normal,20,20,20,20,25,25,60,20,35,40,70,60,50,60,$1.2m,Extremely Hard,Very High
57860,SP,9,Milo Obrenovic,05/17/2011,18,USA,"6' 4""",190 lbs,Right,Right,20,50,Low,Normal,Normal,Low,High,Normal,Unknown,Normal,25,30,25,20,25,50,55,55,60,65,-,60,-,-,-,45,-,-,-,-,4,NEU,92-94 Mph,Normal (3/4),Normal,55,40,20,20,20,35,55,20,30,30,35,30,20,35,$4.2m,Normal,Very High
57091,SP,40,Luis Ocampo,04/12/2011,18,USA,"6' 3""",175 lbs,Right,Right,20,50,Low,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,40,25,20,25,50,50,60,50,55,-,-,-,60,-,-,-,70,-,-,-,3,GB,88-90 Mph,Normal (3/4),GB'er,50,60,20,20,20,30,35,20,25,35,40,25,20,20,$1.1m,Normal,Very High
58056,1B,24,Josh Page,12/23/2007,21,USA,"6' 2""",210 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,55,60,55,55,50,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,60,40,30,35,55,40,25,30,20,20,$380k,Normal,Very High
57267,SP,25,Chris Renfro,08/20/2011,17,USA,"6' 3""",180 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,30,25,20,30,35,45,65,55,55,30,55,60,-,-,-,-,-,-,-,-,4,GB,89-91 Mph,Normal (3/4),GB'er,60,55,20,20,20,25,50,25,30,35,45,20,25,20,$1.4m,Extremely Hard,Very High
48090,SP,25,Danny Sandoval,12/06/2006,22,USA,"6' 2""",200 lbs,Right,Right,20,50,High,Normal,Normal,Low,Normal,Normal,Unknown,Fragile,25,30,20,25,40,50,65,45,50,55,-,55,65,-,-,-,-,-,-,-,4,NEU,95-97 Mph,Normal (3/4),Normal,65,40,25,20,25,35,40,20,40,30,40,20,20,20,$1.7m,Very Easy,Very High
57827,CL,23,Josh Schmitz,09/12/2007,21,USA,"5' 10""",175 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,40,40,25,25,50,60,55,45,75,-,-,60,-,-,-,-,-,-,-,-,2,NEU,95-97 Mph,Normal (3/4),Power,30,25,20,25,30,40,50,50,20,30,25,20,20,20,$380k,Normal,Very High
51901,SS,23,CHARLIE TRUEX,02/01/2007,22,USA,"6' 0""",180 lbs,Right,Right,30,50,Low,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,60,65,50,45,70,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,84-86 Mph,Normal (3/4),Normal,20,20,20,25,65,55,55,60,60,55,55,65,70,65,$200k,Easy,Very High
57923,SP,22,Jim Welch,09/16/2010,18,USA,"6' 3""",180 lbs,Left,Right,20,50,Normal,Normal,Low,Normal,Low,Low,Unknown,Normal,30,25,25,25,45,45,70,60,-,-,65,-,60,-,-,-,60,-,-,-,3,EX GB,88-90 Mph,Normal (3/4),GB'er,60,40,20,20,30,35,45,25,25,20,30,35,35,35,$1.9m,Hard,Very High
58062,SP,4,Jon Weldon,11/21/2007,21,USA,"6' 3""",200 lbs,Switch,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,30,30,25,25,35,45,55,60,60,65,50,-,-,-,-,-,-,-,-,-,3,NEU,94-96 Mph,Over the Top,Normal,65,30,20,20,35,30,40,25,40,30,20,25,20,25,$1.5m,Extremely Hard,Very High
